accountId,code,name,projectId,projectCode,projectName,balanceBs,balanceUsd,balanceEur,updatedAt
"57d6ec1c-fa53-4949-b73f-397f48e5df36","1","ACTIVOS","3a67e841-539a-41cd-931a-d6f544b5b637","DEMO","Demo Project","0","0","0","2025-11-16T02:31:57.729Z"
"61dd2fb0-04cc-4e4c-8349-f1e821783b89","1.1","Caja","3a67e841-539a-41cd-931a-d6f544b5b637","DEMO","Demo Project","0","0","0","2025-11-16T02:31:57.777Z"
"8de1d620-21b7-47ee-801a-f21ad0b40865","1.2","Banco","3a67e841-539a-41cd-931a-d6f544b5b637","DEMO","Demo Project","0","0","0","2025-11-16T02:31:57.798Z"
"b0536771-ae8b-43a5-8a76-2b8b299b6e35","1.1.01","Caja Bs","8296d6f9-94c4-4fa0-85b2-a35d29b864bb","LUCE-002","Inversiones Lucem C.A.","0","0","0","2025-11-16T02:31:58.624Z"
"21b27d8e-bd25-4996-a02b-24e3c43b24ff","1.1.02","Caja USD","8296d6f9-94c4-4fa0-85b2-a35d29b864bb","LUCE-002","Inversiones Lucem C.A.","0","0","0","2025-11-16T02:31:58.605Z"
"44919f0f-fc80-4a95-9dc1-85ba84f8dc42","1.1.03","Caja EUR","8296d6f9-94c4-4fa0-85b2-a35d29b864bb","LUCE-002","Inversiones Lucem C.A.","0","0","0","2025-11-16T02:31:58.586Z"
"9cd9d0c4-7b0a-47f4-9192-05659fddc5fd","1.1.09","Banco BNC lucem","8296d6f9-94c4-4fa0-85b2-a35d29b864bb","LUCE-002","Inversiones Lucem C.A.","0","0","0","2025-11-16T02:31:57.632Z"
"4dfd53c5-87b1-46b4-af23-2db7ac2bea8e","1.2.01","Banco Bs","8296d6f9-94c4-4fa0-85b2-a35d29b864bb","LUCE-002","Inversiones Lucem C.A.","0","0","0","2025-11-16T02:31:58.568Z"
"c43dd650-d572-412c-b7ac-6cabc5e2d3c5","1.2.02","Banco USD","8296d6f9-94c4-4fa0-85b2-a35d29b864bb","LUCE-002","Inversiones Lucem C.A.","0","0","0","2025-11-16T02:31:58.548Z"
"6ce28359-63b0-4c58-8eb4-9b480c4e24b2","1.2.03","Banco EUR","8296d6f9-94c4-4fa0-85b2-a35d29b864bb","LUCE-002","Inversiones Lucem C.A.","0","0","0","2025-11-16T02:31:58.530Z"
